building_id,building_type,height,num_floors,latitude,longitude
B000001,unknown,,,17.4028415,78.4194116
B000002,unknown,,,17.4029222,78.4193502
B000003,unknown,,,17.402836,78.419493
B000004,unknown,,,17.4028558,78.4194122
B000005,unknown,,,17.4028268,78.4193956
B000006,unknown,,,17.4029191,78.4195755
B000007,unknown,,,17.4028053,78.4197136
B000008,unknown,,,17.4026998,78.4198685
B000009,unknown,,,17.4028177,78.4198675
B000010,unknown,,,17.4028015,78.4197923
B000011,unknown,,,17.4030308,78.4195677
B000012,unknown,,,17.4032279,78.4197956
B000013,unknown,,,17.4032832,78.4198533
B000014,unknown,,,17.4034156,78.4198054
B000015,unknown,,,17.4034625,78.4197525
B000016,unknown,,,17.4035998,78.4199173
B000017,unknown,,,17.4036659,78.4199059
B000018,unknown,,,17.4036672,78.4196046
B000019,unknown,,,17.4037063,78.419464
B000020,unknown,,,17.4035895,78.4195778
B000021,unknown,,,17.4033577,78.4195035
B000022,unknown,,,17.4034649,78.4194401
B000023,unknown,,,17.4033984,78.4193536
B000024,unknown,,,17.4034877,78.4194327
B000025,unknown,,,17.4035956,78.419329
B000026,unknown,,,17.4037969,78.4194264
B000027,unknown,,,17.4039814,78.4195421
B000028,unknown,,,17.4041274,78.4194812
B000029,unknown,,,17.404058,78.4195188
B000030,unknown,,,17.4044315,78.4195579
B000031,unknown,,,17.4044532,78.419397
B000032,unknown,,,17.4047537,78.4194025
B000033,unknown,,,17.4047457,78.4194775
B000034,unknown,,,17.404927,78.4194259
B000035,unknown,,,17.4045298,78.4196387
B000036,unknown,,,17.4045671,78.4195083
B000037,unknown,,,17.4045589,78.4194507
B000038,unknown,,,17.4044527,78.4194273
B000039,unknown,,,17.4047449,78.4196839
B000040,unknown,,,17.4045878,78.4197255
B000041,unknown,,,17.4047236,78.4198027
B000042,unknown,,,17.4045944,78.419917
B000043,unknown,,,17.4044762,78.4198405
B000044,unknown,,,17.4044869,78.4197255
B000045,unknown,,,17.4044228,78.4199194
B000046,unknown,,,17.4043623,78.419843
B000047,unknown,,,17.4042616,78.4198138
B000048,unknown,,,17.404142,78.4197771
B000049,unknown,,,17.4041946,78.4197804
B000050,unknown,,,17.4043446,78.4197962
B000051,unknown,,,17.4037597,78.4196655
B000052,unknown,,,17.4037425,78.4197585
B000053,unknown,,,17.403954,78.4197273
B000054,unknown,,,17.4039561,78.4198503
B000055,unknown,,,17.4038447,78.4198915
B000056,unknown,,,17.4038858,78.4199588
B000057,unknown,,,17.4040224,78.4199882
B000058,unknown,,,17.4038772,78.4200525
B000059,unknown,,,17.4039803,78.4200368
B000060,unknown,,,17.4041061,78.4201951
B000061,unknown,,,17.4042462,78.4200951
B000062,unknown,,,17.4042436,78.4200248
B000063,unknown,,,17.4042432,78.4199381
B000064,unknown,,,17.4041503,78.4198533
B000065,unknown,,,17.4044631,78.4199663
B000066,unknown,,,17.4047153,78.4199326
B000067,unknown,,,17.404717,78.4198901
B000068,unknown,,,17.404887,78.4200031
B000069,unknown,,,17.4047737,78.4200605
B000070,unknown,,,17.4047624,78.4201322
B000071,unknown,,,17.4046764,78.4202364
B000072,unknown,,,17.404345,78.4201497
B000073,unknown,,,17.4043217,78.4201803
B000074,unknown,,,17.4044849,78.4202283
B000075,unknown,,,17.4047363,78.4203731
B000076,unknown,,,17.4047356,78.4203882
B000077,unknown,,,17.4044376,78.4203074
B000078,unknown,,,17.4044104,78.4204796
B000079,unknown,,,17.4042299,78.4204882
B000080,unknown,,,17.4041903,78.420285
B000081,unknown,,,17.4040691,78.4202251
B000082,unknown,,,17.4038529,78.4202193
B000083,unknown,,,17.4038164,78.4202558
B000084,unknown,,,17.4038519,78.4203266
B000085,unknown,,,17.4037641,78.4202536
B000086,unknown,,,17.4037572,78.4203675
B000087,unknown,,,17.4040686,78.4202832
B000088,unknown,,,17.4037268,78.4204383
B000089,unknown,,,17.4037259,78.4203139
B000090,unknown,,,17.4037053,78.4203109
B000091,unknown,,,17.4035865,78.4204294
B000092,unknown,,,17.4031173,78.4204464
B000093,unknown,,,17.4034813,78.4202834
B000094,unknown,,,17.4035815,78.420283
B000095,unknown,,,17.4038087,78.4201244
B000096,unknown,,,17.4034565,78.4201449
B000097,unknown,,,17.4038162,78.420051
B000098,unknown,,,17.4037053,78.4200248
B000099,unknown,,,17.4035172,78.4200218
B000100,unknown,,,17.4034453,78.4200645
B000101,unknown,,,17.4034425,78.4199441
B000102,unknown,,,17.4034453,78.420142
B000103,unknown,,,17.4030704,78.4201572
B000104,unknown,,,17.4029419,78.4201272
B000105,unknown,,,17.4029527,78.4201104
B000106,unknown,,,17.4030563,78.4200798
B000107,unknown,,,17.4031068,78.4198556
